Date,Location,State,Shape,Time,Summary,Upload Date
7/18/2014,Houston,TX,Light,2+ hours,Purple light hovering over field for over 2 hours.,7/26/2014
7/14/2014,Austin,TX,Circle,1 minute,Solid orange ball moving across Texas sky.,7/20/2014
7/13/2014,Garland,TX,Triangle,15 minutes,UFO spotted near Laprada and 635 7-13-2014.,7/20/2014
7/12/2014,Livingston,TX,Rectangle,10 seconds,"Looking up at the sky while talking with friends and a square rectangular shape with two lights flew over. We all seen it, twice!",7/20/2014
7/12/2014,Conroe,TX,Fireball,2 minutes,"UFO sighting over Lake Conroe, Texas, July 12, 2014.",7/26/2014
7/12/2014,Spring,TX,Light,2,A blue-ish green light was seen flying north east at high speed and a relatively low altitude.,7/20/2014
7/12/2014,Round Rock,TX,Light,10 seconds,Two white orbs flying low and fast across the sky disappeared after approx. 10 seconds.,7/20/2014
7/12/2014,Thorndale,TX,Light,10 seconds,2 fast green silent circles of light streaked and disappeared.,7/20/2014
7/12/2014,Lago Vista,TX,Cylinder,10 seconds,"A large, cylinder shaped structure with bright lights on both ends, flew over our deck and disappeared in 10 seconds.",7/20/2014
7/12/2014,Quitman,TX,Changing,1 minute,East Texas July 2014 sighting one into two,7/20/2014
7/12/2014,Leander,TX,Light,3-5 seconds,"Hi-Speed, Low Altitude White Light ORB Sighting in Leander, Texas 7/12/14 (~21:15).",7/20/2014
7/12/2014,Austin,TX,Light,3-4 seconds,Two bright white lights chasing each other on an absolute horizontal path-not meteors.,7/20/2014
7/12/2014,San Marcos,TX,Light,3-4 seconds,"A very low, fast moving (like jet..no noise) light parallel to horizon..split to two and went out. Between Wimberley and San Marcos Tx",7/20/2014
7/12/2014,Austin,TX,Light,15 seconds,"Two Super fast moving white lights in early evening sky south Austin, TX.",7/20/2014
7/12/2014,Mansfield,TX,Circle,3 seconds,Light balls.,7/20/2014
7/12/2014,Spicewood,TX,Circle,10,"Light that splits into 2 lights. ((NUFORC Note: Probably a sighting on July 12, 2014, not July 11, we suspect. PD))",7/20/2014
7/12/2014,McKinney,TX,Circle,5 seconds,"Two large, bright lights traveling east to west extremely fast and just disappeared.",7/20/2014
7/12/2014,Katy,TX,Unknown,40 seconds,"Two bluefish greenish lights traveling very low, no sound at all, very high speed observed near La Centera mall in Katy, TX.",7/20/2014
7/12/2014,Austin,TX,Light,30 seconds,Fast moving lights moving from E to N.,7/20/2014
7/12/2014,Garland,TX,Diamond,30 seconds,Intense bright white light.,7/20/2014
7/12/2014,Whitewright,TX,Egg,30 seconds,Lights made no sound and were close enough to see the details/shape.,7/20/2014
7/12/2014,Austin,TX,Light,30 seconds,"Brilliant, fast yellowish white light split into 2 lights (red and yellowish-white) over Austin, then both vanished.",7/20/2014
7/12/2014,Pearland,TX,Light,5-8 seconds,"Bright red, yellow and white round light, hazy, long yellow tail, high rate of speed, observed by Police Officer, S of Houston, TX..",7/20/2014
7/12/2014,Montgomery,TX,Circle,3 seconds,"Two white round objects flying at a high rate over Lake Conroe, Texas.",7/20/2014
7/12/2014,Richmond,TX,Circle,50 seconds,Two Flashing white lights with round shape sphere UFOS traveling fast.,7/20/2014
7/12/2014,Pearland,TX,Other,10 seconds,Light sped across the night sky. Too fast to be a standard passenger airplane. Had to have been military (if it was of this planet).,7/20/2014
7/12/2014,Montgomery,TX,Triangle,30 seconds,2 white triangles appeared on the sky heading E to W. Flying low and very fast. Disappeared in cloud cover. Lots of jet activity.,7/20/2014
7/12/2014,Wylie,TX,Cigar,20-30 seconds,"2 EXTREMELY fast flying objects over Wylie, Texas.",7/20/2014
7/12/2014,Nacogdoches,TX,Other,40 seconds,A bottle rocket type look that shot across the sky and then split and into 2. Each were neon green in color.,7/20/2014
7/12/2014,Bastrop,TX,Cylinder,10 seconds,"The object was sighted west of Bastrop, Texas and was: metallic in color, aerodynamic in shape, about 20 or 25 feet in length, had a li",7/20/2014
7/12/2014,Bryan,TX,Light,10 seconds,"Red & white fast-moving lights over Bryan, Texas.",7/20/2014
7/12/2014,Austin,TX,Light,5-6 seconds,"Two bright lights moving east to west at an extremely fast rate of speed across Austin, TX, sky at around 9pm, 7/12/14.",7/20/2014
7/12/2014,Garland,TX,Rectangle,15 minutes,Garland Texas 7-13-2014 Ufo spotted near laprada and 635.,7/20/2014
7/7/2014,Austin,TX,Sphere,30 seconds,Blue floating orb.,7/11/2014
7/5/2014,Corpus Christi,TX,Fireball,unknown,Small Intelligent Floating Lights.,10/10/2014
7/5/2014,Corpus Christi,TX,Fireball,10 minutes,4 glowing fire like spheres in the sky.,7/11/2014
7/4/2014,"Rowlett, Sachse/Garland",TX,Sphere,1-2 minutes,"Two crafts, bright lights, and no sound. 3 witnesses.",7/11/2014
7/4/2014,Austin,TX,Light,30 minutes,"On 4th of July, 2014 1130ish pm a friend and I we're playing a night game of disc golf.",7/11/2014
7/4/2014,Gun Barrel City,TX,Light,45-60 seconds,"4 horizontal lights orange moved slowly but clearly all apart of one ""craft"" 3 quarter in.",7/5/2014
7/4/2014,Houston,TX,Fireball,5 minutes,"Observed slow moving orange ball/orb in southern sky, approximately over downtown Houston, appearing in a slow trajectory to the east/s",7/5/2014
7/4/2014,San Antonio,TX,Sphere,15 seconds,Red sphere over 410 in San Antonio 7/4/14.,7/5/2014
7/4/2014,Katy,TX,Light,20,"Object with red and green light seemed to be observing fireworks show in Katy mills mall, Katy TX on July 4th, 2014.",7/5/2014
