tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,deploy-off-person,deploy-on-person,deployment-end-type,deployment-id,duty-cycle,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
445,B[H.Y],Falco naumanni,2014-05-05 20:02:00.000,2014-05-20 09:07:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140520_445,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
454,B[F.K],Falco naumanni,2014-05-05 20:16:00.000,2014-05-27 09:44:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140527_454,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
448,V[0AF],Falco naumanni,2014-05-12 09:21:00.000,2014-05-27 14:34:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140527_448,3 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
450,B[D.A],Falco naumanni,2014-05-13 11:28:00.000,2014-05-27 09:50:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140527_450,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
06,V[0A7],Falco naumanni,2014-05-13 15:17:00.000,2014-05-26 09:00:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140526_06,3 min,none,EBD,Technosmart,1.8,GiPSy-4,tag-retrieval
451,B[H.Y],Falco naumanni,2014-05-20 09:09:00.000,2014-06-03 09:44:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140603_451,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
19,B[H.J],Falco naumanni,2014-05-20 09:22:00.000,2014-06-03 09:24:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140603_19,3 min,none,Silo,Technosmart,1.8,GiPSy-4,tag-retrieval
445,V[0A7],Falco naumanni,2014-05-26 11:01:00.000,2014-06-11 09:42:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140611_445,3 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
20,B[F.K],Falco naumanni,2014-05-27 09:45:00.000,2014-06-09 08:47:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140609_20,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
443,B[D.A],Falco naumanni,2014-05-27 09:51:00.000,2014-06-09 08:31:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140609_443,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
07,B[K.E],Falco naumanni,2014-05-27 11:14:00.000,2014-06-16 18:04:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140616_07,3 min,none,Silo,Technosmart,1.8,GiPSy-4,tag-retrieval
454,V[0AF],Falco naumanni,2014-05-27 14:35:00.000,2014-06-09 16:13:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140609_454,3 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
504,B[6.U],Falco naumanni,2014-06-03 08:55:00.000,2014-06-16 17:28:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140616_504,3 min,none,Silo,Technosmart,1.8,GiPSy-5,tag-retrieval
507,B[H.J],Falco naumanni,2014-06-03 09:25:00.000,2014-06-10 09:50:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140610_507,3 min,none,Silo,Technosmart,1.8,GiPSy-5,tag-retrieval
508,B[H.Y],Falco naumanni,2014-06-03 09:46:00.000,2014-06-16 15:35:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140616_508,3 min,none,Silo,Technosmart,1.8,GiPSy-5,tag-retrieval
509,B[D.A],Falco naumanni,2014-06-09 08:32:00.000,2014-06-16 15:09:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140616_509,3 min,none,Silo,Technosmart,1.8,GiPSy-5,tag-retrieval
520,B[F.K],Falco naumanni,2014-06-09 08:48:00.000,2014-06-16 14:58:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140616_520,3 min,none,Silo,Technosmart,1.8,GiPSy-5,tag-retrieval
451,V[0AF],Falco naumanni,2014-06-09 16:14:00.000,2014-06-17 10:17:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140617_451,3 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
506,B[H.J],Falco naumanni,2014-06-10 09:51:00.000,2014-06-17 17:07:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140617_506,1 sec,none,Silo,Technosmart,1.8,GiPSy-5,tag-retrieval
512,V[0A7],Falco naumanni,2014-06-11 09:43:00.000,2014-06-17 08:09:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140617_512,3 min,none,EBD,Technosmart,1.8,GiPSy-5,tag-retrieval
450,B[F.K],Falco naumanni,2014-06-16 14:59:00.000,2014-06-23 16:49:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140623_450,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
503,B[D.A],Falco naumanni,2014-06-16 15:10:00.000,2014-06-23 16:22:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140623_503,1 sec,none,Silo,Technosmart,1.8,GiPSy-5,tag-retrieval
445,B[H.Y],Falco naumanni,2014-06-16 15:37:00.000,2014-06-23 15:34:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140623_445,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
501,B[6.U],Falco naumanni,2014-06-16 17:29:00.000,2014-06-24 09:27:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140624_501,3 min,none,Silo,Technosmart,1.8,GiPSy-5,tag-retrieval
507,B[K.E],Falco naumanni,2014-06-16 18:05:00.000,2014-06-23 18:09:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140623_507,1 sec,none,Silo,Technosmart,1.8,GiPSy-5,tag-retrieval
