FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M1_DATA.179035,179035,4000774,Australia,Central and Southern Great Barrier Reef,Central Indo-Pacific,QLD12,Creek Rocks,-23.1664,150.9517,2010-07-12T00:00:00,3,Chordata,Elasmobranchii,Orectolobidae,Orectolobus halei,1,2,AJG,POINT (150.95166 -23.16641)
M1_DATA.179146,179146,912343553,Australia,Bassian,Temperate Australasia,PPH-S4,Sth Channel Fort,-38.3069,144.801,2013-02-10T00:00:00,5.3,Chordata,Elasmobranchii,Urolophidae,Urolophus gigas,1,1,AJW,POINT (144.8010236 -38.30691797)
M1_DATA.179194,179194,8000650,Australia,Bonaparte Coast,Central Indo-Pacific,NT9,East Point Coral Gardens,-12.4134,130.8127,2008-05-31T00:00:00,8.1,Chordata,Elasmobranchii,Hemiscylliidae,Hemiscyllium ocellatum,1,1,KDS,POINT (130.8127 -12.4134)
M1_DATA.183351,183351,912340248,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2011-12-10T00:00:00,11,Chordata,Elasmobranchii,Brachaeluridae,Brachaelurus waddi,1,1,NAD,POINT (152.15925 -32.70976)
M1_DATA.183833,183833,506002957,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP120,Punta Maria (d) Cocos,5.5348,-87.0875,2008-08-04T00:00:00,13,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,1,NAW,POINT (-87.0875 5.534833)
M1_DATA.186600,186600,912342519,Australia,Manning-Hawkesbury,Temperate Australasia,PS30,Boondlebah Island Gutter,-32.7088,152.2279,2012-07-13T00:00:00,9,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,2,1,NAD,POINT (152.227941 -32.708828)
M1_DATA.186610,186610,912343267,Australia,Coral Sea,Central Indo-Pacific,CS110,Tregrosse Outlier Reef Down,-17.7118,150.7369,2013-06-18T00:00:00,9,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,GER,POINT (150.736917 -17.71175)
M1_DATA.186744,186744,912343314,Australia,Coral Sea,Central Indo-Pacific,CS134,Chilcott Islet inshore reef,-16.9366,150.0009,2013-07-02T00:00:00,2,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,1,RJE,POINT (150.00092 -16.9366)
M1_DATA.186909,186909,6002160,Australia,Bonaparte Coast,Central Indo-Pacific,WA83,Bardi Hole  Cape Leveque,-16.436,123.0512,2010-06-11T00:00:00,7,Chordata,Elasmobranchii,Dasyatidae,Neotrygon ningalooensis,1,1,GJE,POINT (123.05123 -16.43598)
M1_DATA.186952,186952,4000691,Australia,Central and Southern Great Barrier Reef,Central Indo-Pacific,COR3,Norman Reef Pontoon,-16.4252,145.991,2010-07-01T00:00:00,5,Chordata,Elasmobranchii,Dasyatidae,Dasyatid spp.,1,1,AJG,POINT (145.991028 -16.42525)
M1_DATA.186994,186994,912341137,Cook Islands,Phoenix/Tokelau/Northern Cook Islands,Eastern Indo-Pacific,PAC24,"North Bommy, Brushwood I",-13.2302,-163.135,2012-08-11T00:00:00,5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus melanopterus,1,1,GJE,POINT (-163.13503 -13.23017)
M1_DATA.187098,187098,912345852,Australia,Gulf of Papua,Central Indo-Pacific,CS203,Boot Rock W,-10.1068,144.683,2015-11-29T00:00:00,13,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,1,JPS,POINT (144.68304 -10.10677)
M1_DATA.188326,188326,912345509,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,GBR51,Seven Reefs east,-10.2879,143.7176,2015-08-05T00:00:00,7,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,GJE,POINT (143.71759 -10.28793)
M1_DATA.170440,170440,912345854,Australia,Gulf of Papua,Central Indo-Pacific,CS204,Boot Rock NW,-10.105,144.6851,2015-11-29T00:00:00,5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,1,GJE,POINT (144.68513 -10.10505)
M1_DATA.170629,170629,912341130,Cook Islands,Phoenix/Tokelau/Northern Cook Islands,Eastern Indo-Pacific,PAC20,Suwarrow Channel Reef,-13.2541,-163.0948,2012-08-09T00:00:00,14,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,1,GJE,POINT (-163.09476 -13.2541)
M1_DATA.170732,170732,2001024,Australia,Manning-Hawkesbury,Temperate Australasia,SYD31,Green Point Camp Cove,-33.8401,151.2775,2009-12-13T00:00:00,5,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,1,JSS,POINT (151.277492 -33.840111)
M1_DATA.170780,170780,912345879,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,CS218,Ctenochaetus Reef,-10.1938,144.4115,2015-12-02T00:00:00,12,Chordata,Elasmobranchii,Ginglymostomatidae,Nebrius ferrugineus,2,1,AJG,POINT (144.41151 -10.19376)
M1_DATA.170991,170991,2001117,Australia,Manning-Hawkesbury,Temperate Australasia,PS25,Jimmys Beach Barnes Rocks,-32.6827,152.1584,2009-12-25T00:00:00,3,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,3,KHVT,POINT (152.15836 -32.6827)
M1_DATA.181263,181263,912343077,Australia,Manning-Hawkesbury,Temperate Australasia,PS31,Cabbage Tree Island East,-32.6892,152.2272,2013-05-31T00:00:00,13,Chordata,Elasmobranchii,Myliobatidae,Myliobatis australis,1,1,NAD,POINT (152.22723 -32.68916)
M1_DATA.181453,181453,2002772,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2011-04-02T00:00:00,8.5,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,2,TRD,POINT (152.15925 -32.70976)
M1_DATA.181761,181761,7000537,Australia,Bassian,Temperate Australasia,TAS22,Great Bay Nth,-43.218,147.3411,2008-12-04T00:00:00,2,Chordata,Elasmobranchii,Scyliorhinidae,Cephaloscyllium laticeps,1,2,ESO,POINT (147.34114 -43.218)
M1_DATA.181886,181886,2001085,Australia,Cape Howe,Temperate Australasia,BMP-S25,Bingie Bingie Point,-36.0129,150.166,2010-01-28T00:00:00,5.3,Chordata,Elasmobranchii,Myliobatidae,Myliobatis australis,2,1,AJG,POINT (150.16603 -36.0129)
M1_DATA.182053,182053,3000180,Australia,Cape Howe,Temperate Australasia,BR3,Auckland,-37.819,148.7835,2009-03-29T00:00:00,16,Chordata,Elasmobranchii,Scyliorhinidae,Cephaloscyllium laticeps,2,1,DTL,POINT (148.78351 -37.81905)
M1_DATA.185365,185365,7000423,Australia,Bassian,Temperate Australasia,DE17,RosnyPoint,-42.876,147.3558,2009-12-09T00:00:00,4,Chordata,Elasmobranchii,Urolophidae,Urolophus cruciatus,1,1,MJC,POINT (147.3558 -42.87595)
M1_DATA.185574,185574,3000020,Australia,Cape Howe,Temperate Australasia,BR3,Auckland,-37.819,148.7835,2009-11-11T00:00:00,17,Chordata,Elasmobranchii,Scyliorhinidae,Cephaloscyllium laticeps,2,1,AJW,POINT (148.78351 -37.81905)
M1_DATA.185625,185625,2000859,Australia,Manning-Hawkesbury,Temperate Australasia,CG10,Steves Bommie (668),-31.6815,152.912,2009-05-17T00:00:00,30,Chordata,Elasmobranchii,Orectolobidae,Orectolobus halei,1,2,DJA,POINT (152.91196 -31.68152)
M1_DATA.185696,185696,3000098,Australia,Cape Howe,Temperate Australasia,BR4,Nth Pinnacle,-37.8214,148.7864,2009-10-20T00:00:00,19,Chordata,Elasmobranchii,Scyliorhinidae,Cephaloscyllium laticeps,1,4,JEH,POINT (148.78645 -37.82143)
M1_DATA.185746,185746,3000034,Australia,Cape Howe,Temperate Australasia,BR11,Ridge Park,-37.8183,148.7838,2008-12-13T00:00:00,14,Chordata,Elasmobranchii,Scyliorhinidae,Cephaloscyllium laticeps,1,1,AJG,POINT (148.7838 -37.81828333)
M1_DATA.185762,185762,912344899,Australia,Exmouth to Broome,Central Indo-Pacific,NWS157,North Muiron Island NE,-21.6368,114.3908,2015-07-29T00:00:00,2.7,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,MS,POINT (114.39077 -21.63678)
M1_DATA.185918,185918,912343479,Australia,Cape Howe,Temperate Australasia,JBMP-S17,Murrays Reef,-35.1239,150.7523,2013-04-05T00:00:00,5.3,Chordata,Elasmobranchii,Dasyatidae,Dasyatis brevicaudata,2,1,SRG,POINT (150.7523499 -35.1239319)
